OBJECTID,V
TRO-01683,3
TRO-00173,2
TRO-01679,2
TRO-00454,2
TRO-00983,2
TRO-01896,2
TRO-00175,1
TRO-00834,1
TRO-01428,1
TRO-02074,1
TRO-01598,3
TRO-02154,5
TRO-00180,4
TRO-00688,4
TRO-00183,2
TRO-00424,2
TRO-00280,2
TRO-00185,1
TRO-01027,1
TRO-01717,1
TRO-01183,1
TRO-02190,1
TRO-00187,5
TRO-00681,5
TRO-02029,5
TRO-00714,4
TRO-00891,4
TRO-00956,4
TRO-00931,5
TRO-00190,1
TRO-01664,2
TRO-01835,2
TRO-01095,1
TRO-01402,4
TRO-00192,2
TRO-00700,2
TRO-00712,2
TRO-01859,2
TRO-01117,3
TRO-01876,3
TRO-01513,2
TRO-02160,2
TRO-01170,4
TRO-01855,4
TRO-00195,3
TRO-00359,3
TRO-00899,3
TRO-00196,1
TRO-01369,1
TRO-00416,1
TRO-01595,1
TRO-00197,2
TRO-01667,2
TRO-01969,2
TRO-00198,3
TRO-01000,3
TRO-01608,3
TRO-02036,3
TRO-02162,3
TRO-00204,1
TRO-00364,1
TRO-01847,1
TRO-00236,1
TRO-01110,1
TRO-00208,2
TRO-01291,2
TRO-01439,2
TRO-01901,2
TRO-00345,2
TRO-00721,2
TRO-01477,2
TRO-00212,1
TRO-00495,1
TRO-01410,1
TRO-01147,1
TRO-01881,1
TRO-00216,4
TRO-02131,4
TRO-01310,4
TRO-00219,2
TRO-00557,1
TRO-01479,1
TRO-00726,2
TRO-02091,2
TRO-00524,4
TRO-00745,4
TRO-00228,2
TRO-01297,2
TRO-02042,2
TRO-00611,5
TRO-00325,2
TRO-00670,1
TRO-01240,2
TRO-01727,1
TRO-00248,3
TRO-00672,3
TRO-00572,3
TRO-00873,3
TRO-00274,1
TRO-00331,1
TRO-01202,1
TRO-01584,1
TRO-02020,1
TRO-02021,1
TRO-02062,1
TRO-00652,3
TRO-01354,3
TRO-00276,3
TRO-00812,3
TRO-01811,2
TRO-01083,1
TRO-00279,4
TRO-01003,4
TRO-01652,4
TRO-00402,4
TRO-01509,4
TRO-00722,2
TRO-00287,1
TRO-02122,3
TRO-00288,2
TRO-01092,2
TRO-01839,2
TRO-00921,2
TRO-02034,2
TRO-00293,2
TRO-01270,2
TRO-01937,1
TRO-01315,2
TRO-01722,1
TRO-00295,4
TRO-01150,4
TRO-01383,4
TRO-00296,4
TRO-00310,4
TRO-00573,4
TRO-02055,4
TRO-00301,4
TRO-01708,4
TRO-01887,4
TRO-00365,4
TRO-00391,4
TRO-00302,2
TRO-00521,5
TRO-01347,5
TRO-00303,3
TRO-00905,3
TRO-01459,3
TRO-01040,3
TRO-01757,3
TRO-00305,2
TRO-00464,2
TRO-01224,2
TRO-01412,2
TRO-01057,5
TRO-01972,2
TRO-02015,4
TRO-02176,5
TRO-00311,1
TRO-01204,1
TRO-01723,2
TRO-02153,2
TRO-02249,2
TRO-00489,5
TRO-02206,5
TRO-01670,3
TRO-00786,4
TRO-02030,3
TRO-01862,1
TRO-00498,1
TRO-00821,1
TRO-01466,1
TRO-00330,4
TRO-00871,4
TRO-01255,4
TRO-01988,4
TRO-01622,1
TRO-00335,4
TRO-02234,4
TRO-02130,4
TRO-00336,2
TRO-00619,2
TRO-01246,2
TRO-00542,2
TRO-00610,1
TRO-00337,1
TRO-01913,4
TRO-01984,1
TRO-00405,1
TRO-00534,2
TRO-01121,2
TRO-00346,2
TRO-01125,2
TRO-00685,1
TRO-01673,2
TRO-00746,4
TRO-00356,4
TRO-02163,4
TRO-01348,1
TRO-01983,1
TRO-01702,5
TRO-00954,4
TRO-00978,4
TRO-02060,4
TRO-00367,5
TRO-00666,1
TRO-01577,3
TRO-01113,2
TRO-01865,1
TRO-00369,1
TRO-02069,1
TRO-00421,1
TRO-01965,1
TRO-01419,2
TRO-00374,5
TRO-01060,5
TRO-00442,3
TRO-01262,5
TRO-00378,5
TRO-00810,5
TRO-00529,5
TRO-01748,5
TRO-00382,2
TRO-00384,1
TRO-01744,1
TRO-02010,1
TRO-01312,1
TRO-02196,1
TRO-00385,5
TRO-00401,5
TRO-00564,3
TRO-01268,5
TRO-01015,2
TRO-01548,2
TRO-00389,1
TRO-00673,1
TRO-00759,1
TRO-00725,4
TRO-01389,2
TRO-00396,4
TRO-01474,4
TRO-01732,4
TRO-00399,3
TRO-00731,3
TRO-01194,3
TRO-00769,3
TRO-01684,3
TRO-00400,1
TRO-01304,1
TRO-02051,1
TRO-02028,1
TRO-00902,5
TRO-00972,3
TRO-01721,3
TRO-00404,3
TRO-01203,3
TRO-00432,3
TRO-00751,4
TRO-00874,1
TRO-01324,2
TRO-01331,2
TRO-00419,4
TRO-00626,1
TRO-01766,4
TRO-00634,4
TRO-01358,1
TRO-01128,2
TRO-01279,2
TRO-00422,5
TRO-01494,5
TRO-01601,5
TRO-00426,2
TRO-00817,3
TRO-01436,5
TRO-01289,1
TRO-01621,3
TRO-00427,4
TRO-00975,5
TRO-01780,4
TRO-00428,5
TRO-00483,5
TRO-00607,5
TRO-00596,5
TRO-02064,5
TRO-01005,3
TRO-01962,5
TRO-00965,2
TRO-00441,1
TRO-00699,1
TRO-00443,3
