OBJECTID,V
1767,1
622,2
1982,2
1181,3
1232,4
2120,3
976,1
547,3
604,2
901,3
1001,2
556,1
1793,2
1417,1
684,1
2009,1
1208,2
1414,2
1592,4
2067,3
1406,4
583,4
750,4
590,2
2114,2
591,5
1623,5
1488,5
1821,5
1269,2
2044,4
603,5
818,5
1525,5
896,5
1647,4
1075,5
1138,2
697,4
1370,3
780,3
888,3
662,1
1174,1
706,3
1002,2
1334,2
1551,4
2205,2
642,2
1690,2
1830,2
645,5
1267,5
1998,2
808,1
990,2
787,5
656,5
661,1
893,5
1160,1
668,3
1573,3
1870,2
677,1
1357,1
2147,1
708,1
1375,1
2089,1
1754,2
679,4
1941,1
1993,1
1448,4
2151,4
1662,3
1918,3
845,1
1182,1
1215,3
1808,4
1922,5
1294,1
1860,1
1668,2
1774,4
2047,4
1296,1
1543,1
1764,2
1912,2
763,4
1187,4
1045,3
1379,3
735,1
1512,1
736,2
1472,2
1498,5
748,4
1102,4
1492,4
2066,4
1886,2
753,1
1284,1
1904,1
883,1
1942,1
771,1
953,1
2237,1
1285,2
762,1
1219,2
918,5
1671,5
791,1
1619,2
2138,1
799,1
1207,1
1733,1
1424,2
2228,1
1172,4
1776,5
822,4
1065,4
1999,4
827,4
1109,4
1930,4
828,4
1790,4
843,1
930,1
1190,1
1454,1
1877,1
1752,1
1902,1
867,2
1191,1
872,4
1743,4
1549,3
1741,4
1885,3
1657,1
1975,1
917,5
1440,4
922,2
1949,1
2113,2
1359,2
1768,2
948,3
951,4
2179,3
1762,4
1810,4
1523,2
959,4
957,4
1037,4
1253,5
1586,5
971,5
1978,5
977,1
982,5
1223,4
1314,2
1298,2
1656,2
1052,2
1794,2
2177,2
1011,1
1026,1
1028,5
1907,5
2148,3
1073,3
1273,3
1418,3
1100,4
1538,4
2159,4
1157,2
1739,2
1168,1
1233,1
1362,1
1200,1
1427,1
1958,1
1244,1
1550,1
2244,1
1264,5
1909,3
1345,3
1900,1
1403,3
1892,3
1979,4
1544,2
1939,1
1932,4
1920,4
1571,5
2017,5
1761,3
1726,4
1867,4
